ID,NAME,X,Y
WOL4-1,WOL4-1,153093.0483,166995.2023
WOL4-2,WOL4-2,152558.813,166542.2847
WOL4-3,WOL4-3,151961.9732,166267.4469
WOL4-4,WOL4-4,151649.4407,165939.2814
WOL4-5,WOL4-5,151178.6404,165351.6758
